month,src,des,num
2017-08,Buri Ram,Nakhon Ratchasima,1475
2017-08,Buri Ram,Surin,454
2017-08,Chachoengsao,Bangkok,2028
2017-08,Chachoengsao,Chon Buri,2205
2017-08,Chachoengsao,Prachin Buri,910
2017-08,Chai Nat,Nakhon Sawan,567
2017-08,Chaiyaphum,Khon Kaen,492
2017-08,Chaiyaphum,Nakhon Ratchasima,457
2017-08,Chanthaburi,Chon Buri,465
2017-08,Chiang Mai,Lampang,503
2017-08,Chiang Mai,Tak,533
2017-08,Chon Buri,Bangkok,7611
2017-08,Chon Buri,Chachoengsao,2220
2017-08,Chon Buri,Pathum Thani,705
2017-08,Chon Buri,Prachin Buri,1665
2017-08,Chon Buri,Samut Prakan,630
2017-08,Chon Buri,Samut Sakhon,459
2017-08,Chon Buri,Saraburi,520
2017-08,Chumphon,Prachuap Khiri Khan,940
2017-08,Chumphon,Surat Thani,896
2017-08,Kamphaeng Phet,Nakhon Sawan,453
2017-08,Kamphaeng Phet,Tak,523
2017-08,Khon Kaen,Chaiyaphum,529
2017-08,Khon Kaen,Nakhon Ratchasima,728
2017-08,Khon Kaen,Udon Thani,614
2017-08,Lampang,Chiang Mai,509
2017-08,Lop Buri,Bangkok,561
2017-08,Lop Buri,Saraburi,2151
2017-08,Nakhon Nayok,Prachin Buri,505
2017-08,Nakhon Nayok,Saraburi,540
2017-08,Nakhon Pathom,Bangkok,2306
2017-08,Nakhon Pathom,Ratchaburi,676
2017-08,Nakhon Pathom,Samut Sakhon,639
2017-08,Nakhon Pathom,Suphan Buri,533
2017-08,Nakhon Ratchasima,Bangkok,524
2017-08,Nakhon Ratchasima,Buri Ram,1522
2017-08,Nakhon Ratchasima,Chaiyaphum,466
2017-08,Nakhon Ratchasima,Khon Kaen,716
2017-08,Nakhon Ratchasima,Prachin Buri,634
2017-08,Nakhon Ratchasima,Saraburi,1781
2017-08,Nakhon Sawan,Chai Nat,507
2017-08,Nakhon Sawan,Kamphaeng Phet,533
2017-08,Nakhon Si Thammarat,Surat Thani,918
2017-08,Nong Khai,Udon Thani,508
2017-08,Nonthaburi,Bangkok,458
2017-08,Pathum Thani,Ayutthaya,2431
2017-08,Pathum Thani,Bangkok,6171
2017-08,Pathum Thani,Chon Buri,734
2017-08,Pathum Thani,Saraburi,1858
2017-08,Phangnga,Phuket,724
2017-08,Phatthalung,Songkhla,985
2017-08,Phetchaburi,Prachuap Khiri Khan,1039
2017-08,Phetchaburi,Ratchaburi,490
2017-08,Phuket,Phangnga,742
2017-08,Prachin Buri,Bangkok,789
2017-08,Prachin Buri,Chachoengsao,936
2017-08,Prachin Buri,Chon Buri,1717
2017-08,Prachin Buri,Nakhon Nayok,506
2017-08,Prachin Buri,Nakhon Ratchasima,673
2017-08,Prachin Buri,Saraburi,476
2017-08,Prachuap Khiri Khan,Chumphon,1003
2017-08,Prachuap Khiri Khan,Phetchaburi,973
2017-08,Ratchaburi,Bangkok,1245
2017-08,Ratchaburi,Nakhon Pathom,710
2017-08,Ratchaburi,Phetchaburi,553
2017-08,Ratchaburi,Prachuap Khiri Khan,460
2017-08,Ratchaburi,Samut Sakhon,670
2017-08,Sa Kaeo,Prachin Buri,524
2017-08,Samut Prakan,Bangkok,1002
2017-08,Samut Prakan,Chon Buri,594
2017-08,Samut Sakhon,Bangkok,2395
2017-08,Samut Sakhon,Nakhon Pathom,659
2017-08,Samut Sakhon,Ratchaburi,809
2017-08,Saraburi,Ayutthaya,2893
2017-08,Saraburi,Bangkok,2577
2017-08,Saraburi,Chon Buri,510
2017-08,Saraburi,Lop Buri,2342
2017-08,Saraburi,Nakhon Nayok,568
2017-08,Saraburi,Nakhon Ratchasima,1961
2017-08,Saraburi,Pathum Thani,1677
2017-08,Songkhla,Phatthalung,937
2017-08,Suphan Buri,Bangkok,746
2017-08,Suphan Buri,Nakhon Pathom,491
2017-08,Surat Thani,Chumphon,928
2017-08,Surat Thani,Nakhon Si Thammarat,872
2017-08,Surin,Buri Ram,456
2017-08,Tak,Chiang Mai,548
2017-08,Tak,Kamphaeng Phet,530
2017-08,Udon Thani,Khon Kaen,603
